date,TRX/USDT
2025-11-25 00:00:00+00:00,0.2745
2025-11-26 00:00:00+00:00,0.2765
2025-11-27 00:00:00+00:00,0.2803
2025-11-28 00:00:00+00:00,0.281
2025-11-29 00:00:00+00:00,0.2809
2025-11-30 00:00:00+00:00,0.2815
2025-12-01 00:00:00+00:00,0.2769
2025-12-02 00:00:00+00:00,0.281
2025-12-03 00:00:00+00:00,0.2804
2025-12-04 00:00:00+00:00,0.2862
2025-12-05 00:00:00+00:00,0.2856
2025-12-06 00:00:00+00:00,0.2871
2025-12-07 00:00:00+00:00,0.2868
2025-12-08 00:00:00+00:00,0.2814
2025-12-09 00:00:00+00:00,0.2822
2025-12-10 00:00:00+00:00,0.2801
2025-12-11 00:00:00+00:00,0.2805
2025-12-12 00:00:00+00:00,0.2737
2025-12-13 00:00:00+00:00,0.271
2025-12-14 00:00:00+00:00,0.2773
2025-12-15 00:00:00+00:00,0.2783
2025-12-16 00:00:00+00:00,0.2802
2025-12-17 00:00:00+00:00,0.2796
2025-12-18 00:00:00+00:00,0.2793
2025-12-19 00:00:00+00:00,0.28
2025-12-20 00:00:00+00:00,0.2819
2025-12-21 00:00:00+00:00,0.2883
2025-12-22 00:00:00+00:00,0.2844
2025-12-23 00:00:00+00:00,0.2836
2025-12-24 00:00:00+00:00,0.2803
2025-12-25 00:00:00+00:00,0.2787
2025-12-26 00:00:00+00:00,0.2795
2025-12-27 00:00:00+00:00,0.2849
2025-12-28 00:00:00+00:00,0.285
2025-12-29 00:00:00+00:00,0.285
2025-12-30 00:00:00+00:00,0.2863
2025-12-31 00:00:00+00:00,0.2845
2026-01-01 00:00:00+00:00,0.2871
2026-01-02 00:00:00+00:00,0.289
2026-01-03 00:00:00+00:00,0.2956
2026-01-04 00:00:00+00:00,0.2939
2026-01-05 00:00:00+00:00,0.2922
2026-01-06 00:00:00+00:00,0.2942
2026-01-07 00:00:00+00:00,0.2981
2026-01-08 00:00:00+00:00,0.295
2026-01-09 00:00:00+00:00,0.2984
2026-01-10 00:00:00+00:00,0.3024
2026-01-11 00:00:00+00:00,0.2995
2026-01-12 00:00:00+00:00,0.2998
2026-01-13 00:00:00+00:00,0.3071
2026-01-14 00:00:00+00:00,0.3047
2026-01-15 00:00:00+00:00,0.3126
2026-01-16 00:00:00+00:00,0.3096
2026-01-17 00:00:00+00:00,0.3188
2026-01-18 00:00:00+00:00,0.3178
2026-01-19 00:00:00+00:00,0.3119
2026-01-20 00:00:00+00:00,0.3108
