date,QNT/USDT
2026-01-04 00:00:00+00:00,77.94
2026-01-05 00:00:00+00:00,79.19
2026-01-06 00:00:00+00:00,79.3
2026-01-07 00:00:00+00:00,75.46
2026-01-08 00:00:00+00:00,74.83
2026-01-09 00:00:00+00:00,75.15
2026-01-10 00:00:00+00:00,74.24
2026-01-11 00:00:00+00:00,74.47
2026-01-12 00:00:00+00:00,72.5
2026-01-13 00:00:00+00:00,77.06
2026-01-14 00:00:00+00:00,74.7
2026-01-15 00:00:00+00:00,73.58
2026-01-16 00:00:00+00:00,78.46
2026-01-17 00:00:00+00:00,84.41
2026-01-18 00:00:00+00:00,79.29
2026-01-19 00:00:00+00:00,82.32
2026-01-20 00:00:00+00:00,83.38
